group_index	group_status	group_reason	decision_role	keep_sort_rank	keep_decision_reason	original_filename	date	date_added	uuid	filename	asset_scope	path	file_size_bytes	content_sha256	has_location	location	latitude	longitude	raw_location	place	is_live_photo	path_live_photo	live_photo_marker	description	keywords	favorite	hidden	album_titles	folder_paths	safety_checks	location_values
1	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_0079.JPG	2019-09-22T14:10:56.383182+08:00	2022-04-09T23:38:35.780856+08:00	5A2E5787-8A1B-4510-A0F2-BE7320168F7D	5A2E5787-8A1B-4510-A0F2-BE7320168F7D.jpeg	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/5/5A2E5787-8A1B-4510-A0F2-BE7320168F7D.jpeg	167961	c546496a8095c93b1d5922357850befdd1a8e162399859cf146e92f562fd4e0e	True	(None, None)			None | None		False		False		HIDE | NSFW	False	False			"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
2	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_0106.JPG	2021-12-15T19:26:48.808220+08:00	2021-12-15T21:51:40.174364+08:00	14A8F1D8-2906-4068-8760-E89903F2AE58	14A8F1D8-2906-4068-8760-E89903F2AE58.jpeg	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/1/14A8F1D8-2906-4068-8760-E89903F2AE58.jpeg	4442330	b28e8ea1a14d0f4c69190e1128877468b7688dc95d436c74e251056355433ef4	True	25.047086166666666,121.54198666666667	25.047086166666666	121.54198666666667	25.047086166666666 | 121.54198666666667	"{""address"": {""city"": ""Zhongshan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""104101"", ""state_province"": ""Taipei City"", ""street"": ""No. 289 Bade Rd Sec 2"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Zhulun""}, ""address_str"": ""No. 289 Bade Rd Sec 2, Zhongshan District, Taipei City 104, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Zhongshan District, Taiwan"", ""names"": {""additional_city_info"": [""Zhulun""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Zhongshan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 289 Bade Rd Sec 2""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False	2021年12月15日 跟林欒菲還有林艾蓮 去她弟弟公司附近的 林艾蓮很愛吃的 七輪燒肉！吃了一個半小時就很飽，因為中間有點個鍋巴…橫膈膜不好吃因為是台灣牛，或許是這個關係，其他都很好吃！總共花了$3234！林艾蓮一個人喝啤酒就花了$360！然後還說很便宜！金錢觀價值觀差好多！ 上次一個人就要2000多塊吃不飽。這次我沒事幹嘛裝大方，這個錢都可以買一個精英頭盔電池版本。VR群組的人都捨不得買的！ 一頓飯就沒了！最雞歪的就是那個酒了！那個一小杯啤酒要$120！他媽的貴！		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	25.047086166666666,121.54198666666667
3	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			PDF document-1.jpeg	2021-04-17T17:15:02.617726+08:00	2021-04-17T17:15:44.660951+08:00	629EDA1F-9AB8-4B0E-8639-F1600B5ACDA2	629EDA1F-9AB8-4B0E-8639-F1600B5ACDA2.jpeg	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/6/629EDA1F-9AB8-4B0E-8639-F1600B5ACDA2.jpeg	3898033	bd46bd338deed3201ccaef428b17ea88c5535978b654a76ea1c25a7a766cb3de	True	(None, None)			None | None		False		False			False	False	2021年4月17日，小乖說我有病，買了3000兩百多的漁夫鮮撈... $3000免運費打九二折省兩百多！結果他媽的收到訂購失敗通知。浪費了我一個小時的時間！我就寫Line過去罵人…看看他們怎麼處理！		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
4	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			tmp_v4738292321404693282.mp4	2019-11-27T23:16:29+08:00	2019-12-12T09:51:18.165317+08:00	52F12EA2-AA7E-42B7-8DFB-B437F17AD120	52F12EA2-AA7E-42B7-8DFB-B437F17AD120.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/5/52F12EA2-AA7E-42B7-8DFB-B437F17AD120.mp4	62313726	9bc6ba92bfa036b93fd3dd5903bb02f2f869c94cc8fc00c635e0bb2e00161038	True	(None, None)			None | None		False		False		HIDE	False	False	歐美自拍 超級幼女 小蘿莉耍性感露奶又露屄	HIDE	"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
5	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_0234.PNG	2020-11-19T00:23:16.639491+08:00	2020-11-19T00:23:29.247762+08:00	956623AF-8FEF-4032-948E-816E52B2EE6F	956623AF-8FEF-4032-948E-816E52B2EE6F.png	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/9/956623AF-8FEF-4032-948E-816E52B2EE6F.png	408582	9c711a04be7bac97c599c0c3cb45ad4301f0679b66fa364402277964a9fda1d4	True	(None, None)			None | None		False		False			False	False			"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
6	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			tmp_v4738122593335909120.mp4	2019-04-14T09:54:04.082973+08:00	2019-04-14T09:55:36.001581+08:00	9199B232-49A2-4065-A98E-82A01F8001E5	9199B232-49A2-4065-A98E-82A01F8001E5.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/9/9199B232-49A2-4065-A98E-82A01F8001E5.mp4	34109764	15ea4ee1eff78a5c02bdcccd0bde9944e0b9bececf258ffa4bc7528ecc2bb1f9	True	(None, None)			None | None		False		False			False	False			"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
7	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_4980.MOV	2022-06-30T10:43:45+08:00	2023-11-05T16:54:59.163527+08:00	F9496917-1F03-4B35-B608-9E9EBA9E688E	F9496917-1F03-4B35-B608-9E9EBA9E688E.mov	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/F/F9496917-1F03-4B35-B608-9E9EBA9E688E.mov	9065316678	0b2be3da44ed0e536a0219ae10b464fdd50e9f3bb5dbdf842ab5b0742705cb3c	True	25.0215,121.5324	25.0215	121.5324	25.0215 | 121.5324	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""Taipei City"", ""street"": ""No. 15 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 15 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 15 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False	2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	25.0215,121.5324
8	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			-479944577823611629.mp4	2021-07-29T23:28:42+08:00	2024-03-17T07:28:53.735383+08:00	6CDCCDF9-F7D7-433C-88CD-82CF4D112801	6CDCCDF9-F7D7-433C-88CD-82CF4D112801.mp4	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/6/6CDCCDF9-F7D7-433C-88CD-82CF4D112801.mp4	40728528	51edd590b192b00542a6e15b6d7956e4b5d59138bd7aea7e9723180e52e858ef	True	(None, None)			None | None		False		False		HIDE | NSFW	False	False			"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	(None, None)
9	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_0209.MOV	2021-04-16T18:24:12+08:00	2021-04-16T20:24:05.022936+08:00	69CB81C5-9E31-495A-91EC-27F2E85931FB	69CB81C5-9E31-495A-91EC-27F2E85931FB.mov	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/6/69CB81C5-9E31-495A-91EC-27F2E85931FB.mov	884844309	a0b2cc278d4b1c8673d2c496192f11fd83489bd558a929d0fb4062180ffdf5b5	True	25.0215,121.5324	25.0215	121.5324	25.0215 | 121.5324	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""Taipei City"", ""street"": ""No. 15 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 15 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 15 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False	2021年4月16日上完瑜伽課，六點左右回到家發現整個家裡亂七八糟。媽媽居然說是爸爸要大掃除，但是中途因為要在妹妹不知道幹嗎，然後就把東西到處亂丟…完全沒有考慮別人（其實只有我跟小乖）所以他們三個人是一國就對了啦！只有他們才是人就對了！拍照攝影純正這整件荒謬但是卻又是日常（實在太悲哀）的事件！		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	25.0215,121.5324
10	DELETABLE_DUPLICATE	SAME_UNIQUE_ID_AND_SAME_SHA256	DELETE_CANDIDATE			IMG_4982.MOV	2022-06-30T11:05:36+08:00	2023-11-05T16:55:08.727065+08:00	88ACF87B-2767-4200-AF08-81F9AD569C5D	88ACF87B-2767-4200-AF08-81F9AD569C5D.mov	NORMAL_ORIGINALS	/Users/huohsien/Pictures/Photos Library.photoslibrary/originals/8/88ACF87B-2767-4200-AF08-81F9AD569C5D.mov	3047941792	4818605864ba9bb19de41a9c734f97c594a0ac2c29a4f28763077381c2f10e60	True	25.0215,121.5324	25.0215	121.5324	25.0215 | 121.5324	"{""address"": {""city"": ""Daan District"", ""country"": ""Taiwan"", ""iso_country_code"": ""TW"", ""postal_code"": ""106020"", ""state_province"": ""Taipei City"", ""street"": ""No. 15 Wenzhou St Ln 48"", ""sub_administrative_area"": ""Taipei City"", ""sub_locality"": ""Daxue""}, ""address_str"": ""No. 15 Wenzhou St Ln 48, Daan District, Taipei City 106, Taiwan"", ""country_code"": ""TW"", ""ishome"": false, ""name"": ""Daan District, Taiwan"", ""names"": {""additional_city_info"": [""Daxue""], ""area_of_interest"": [], ""body_of_water"": [], ""city"": [""Daan District""], ""country"": [""Taiwan""], ""field0"": [], ""field10"": [], ""field13"": [], ""field15"": [], ""field16"": [], ""field5"": [], ""inland_water"": [], ""ocean"": [], ""postal_code"": [], ""region"": [], ""state_province"": [], ""street_address"": [""No. 15 Wenzhou St Ln 48""], ""sub_administrative_area"": [""Taipei City""], ""sub_throughfare"": []}}"	False		False			False	False	2022年6月30日 BH 跑步機 技術 明憲 來解決新買的跑步機會發出聲音的問題。原來有一堆螺絲需要上潤滑油 WD40 然後他幫我上了一下皮帶的潤滑油，之後就是要自己付錢$1000保養。所以也教了我怎麼樣自己基本調整，要買恐龍跑步機潤滑油然後升到套袋最裡面整個從頭到尾噴一遍左右各一次！然後跑帶鬆掉要旋轉螺絲。在跑步機尾端的滾筒旁邊兩個螺絲順時針進去的話滾筒會往外往後退。兩邊的螺絲分別控制滾筒的兩邊前後。所以如果跑帶鬆掉的話兩邊都要轉進去順時鐘轉進去½圈，如果搞到一兩圈都不行的話，就需要找維修技師。如果跑帶偏ㄧ邊的話，先可以用時速10，人不要站在上面，讓跑步機自己運轉一下，看他會不會歸位。不行的話就看跑帶偏哪一邊。假設偏右邊就是轉右邊的螺絲！另外就是啟動跑步機的時候最好站在跑帶旁邊的台子上，因為時間久了可能馬達會爆衝，很危險！另外判斷是否需要潤滑，在跑完之後可以摸一下跑袋的溫度，如果比平常上升許多，那就是需要潤滑了		"{""live_photo_candidate"": false, ""location_conflict"": false, ""sha_error"": false, ""unreadable_original"": false}"	25.0215,121.5324
